"id"	"hero_id"	"job_race_id"	"created_at"	"updated_at"
"71"	"36"	"19"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"72"	"36"	"6"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"73"	"36"	"2"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"74"	"37"	"19"	"20/8/2019 16:42:22"	"20/8/2019 16:42:22"
"75"	"37"	"1"	"20/8/2019 16:42:22"	"20/8/2019 16:42:22"
"76"	"38"	"19"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"77"	"38"	"10"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"78"	"39"	"19"	"20/8/2019 16:49:58"	"20/8/2019 16:49:58"
"79"	"39"	"6"	"20/8/2019 16:49:58"	"20/8/2019 16:49:58"
"80"	"40"	"20"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"81"	"40"	"3"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"82"	"41"	"21"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"83"	"41"	"3"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"84"	"42"	"21"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"85"	"42"	"3"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"86"	"43"	"21"	"21/8/2019 06:51:32"	"21/8/2019 06:51:32"
"87"	"43"	"10"	"21/8/2019 06:51:32"	"21/8/2019 06:51:32"
"88"	"44"	"21"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"89"	"44"	"1"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"90"	"45"	"22"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"91"	"45"	"23"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"92"	"45"	"9"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"93"	"46"	"22"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"94"	"46"	"1"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"95"	"47"	"22"	"21/8/2019 07:03:29"	"21/8/2019 07:03:29"
"96"	"47"	"10"	"21/8/2019 07:03:29"	"21/8/2019 07:03:29"
"97"	"48"	"22"	"21/8/2019 07:06:08"	"21/8/2019 07:06:08"
"98"	"48"	"3"	"21/8/2019 07:06:08"	"21/8/2019 07:06:08"
"99"	"49"	"22"	"21/8/2019 07:08:57"	"21/8/2019 07:08:57"
"100"	"49"	"9"	"21/8/2019 07:08:57"	"21/8/2019 07:08:57"
"101"	"50"	"23"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"102"	"50"	"7"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"103"	"51"	"23"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"104"	"51"	"10"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"105"	"52"	"23"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"106"	"52"	"10"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"107"	"53"	"23"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"108"	"53"	"6"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"109"	"54"	"24"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"110"	"54"	"6"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"111"	"55"	"24"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"112"	"55"	"3"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"113"	"56"	"24"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"114"	"56"	"9"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"115"	"57"	"24"	"21/8/2019 07:41:52"	"21/8/2019 07:41:52"
"116"	"57"	"2"	"21/8/2019 07:41:52"	"21/8/2019 07:41:52"
