"id"	"hero_id"	"star"	"life_value"	"guard_value"	"magic_resistance"	"damage_value"	"attack_speed"	"attack_distance"	"init_magic_value"	"max_magic_value"	"created_at"	"updated_at"
"19"	"8"	"1"	"500"	"25"	"20"	"81"	"0.6"	"2"	"0"	"100"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"20"	"8"	"2"	"900"	"25"	"20"	"81"	"0.6"	"2"	"0"	"100"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"21"	"8"	"3"	"1800"	"25"	"20"	"162"	"0.6"	"2"	"0"	"100"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"22"	"9"	"1"	"650"	"20"	"20"	"40"	"0.6"	"3"	"0"	"125"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"23"	"9"	"2"	"1170"	"20"	"20"	"72"	"0.6"	"3"	"0"	"125"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"24"	"9"	"3"	"2340"	"20"	"20"	"144"	"0.6"	"3"	"0"	"125"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"25"	"10"	"1"	"650"	"30"	"20"	"50"	"0.7"	"1"	"0"	"100"	"20/8/2019 09:03:05"	"20/8/2019 09:03:05"
"26"	"10"	"2"	"1090"	"30"	"20"	"90"	"0.7"	"1"	"0"	"100"	"20/8/2019 09:03:05"	"20/8/2019 09:03:05"
"27"	"10"	"3"	"2080"	"30"	"20"	"180"	"0.7"	"1"	"0"	"100"	"20/8/2019 09:03:05"	"20/8/2019 09:03:05"
"28"	"12"	"1"	"700"	"35"	"20"	"75"	"1"	"1"	"0"	"25"	"20/8/2019 09:11:59"	"20/8/2019 09:11:59"
"29"	"12"	"2"	"1260"	"35"	"20"	"135"	"1"	"1"	"0"	"25"	"20/8/2019 09:11:59"	"20/8/2019 09:11:59"
"30"	"12"	"3"	"2520"	"35"	"20"	"270"	"1"	"1"	"0"	"25"	"20/8/2019 09:11:59"	"20/8/2019 09:11:59"
"31"	"13"	"1"	"650"	"20"	"20"	"40"	"0.6"	"3"	"0"	"100"	"20/8/2019 09:15:13"	"20/8/2019 09:15:13"
"32"	"13"	"2"	"1170"	"20"	"20"	"72"	"0.6"	"3"	"0"	"100"	"20/8/2019 09:15:13"	"20/8/2019 09:15:13"
"33"	"13"	"3"	"2340"	"20"	"20"	"144"	"0.6"	"3"	"0"	"100"	"20/8/2019 09:15:13"	"20/8/2019 09:15:13"
"34"	"14"	"1"	"850"	"40"	"25"	"45"	"0.6"	"1"	"50"	"150"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"35"	"14"	"2"	"1530"	"40"	"25"	"81"	"0.6"	"1"	"50"	"150"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"36"	"14"	"3"	"3060"	"40"	"25"	"161"	"0.6"	"1"	"50"	"150"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"37"	"15"	"1"	"700"	"35"	"20"	"75"	"1"	"1"	"0"	"100"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"38"	"15"	"2"	"1260"	"35"	"20"	"135"	"1"	"1"	"0"	"100"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"39"	"15"	"3"	"2520"	"35"	"20"	"270"	"1"	"1"	"0"	"100"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"40"	"16"	"1"	"700"	"35"	"20"	"75"	"1"	"1"	"0"	"100"	"20/8/2019 09:26:30"	"20/8/2019 09:26:30"
"41"	"16"	"2"	"1260"	"35"	"20"	"135"	"1"	"1"	"0"	"100"	"20/8/2019 09:26:30"	"20/8/2019 09:26:30"
"42"	"16"	"3"	"2520"	"35"	"20"	"270"	"1"	"1"	"0"	"100"	"20/8/2019 09:26:30"	"20/8/2019 09:26:30"
"43"	"17"	"1"	"700"	"35"	"20"	"75"	"1"	"1"	"0"	"125"	"20/8/2019 09:30:19"	"20/8/2019 09:30:19"
"44"	"17"	"2"	"1260"	"35"	"20"	"135"	"1"	"1"	"0"	"125"	"20/8/2019 09:30:19"	"20/8/2019 09:30:19"
"45"	"17"	"3"	"2520"	"35"	"20"	"270"	"1"	"1"	"0"	"125"	"20/8/2019 09:30:19"	"20/8/2019 09:30:19"
"46"	"18"	"1"	"650"	"35"	"20"	"75"	"1"	"1"	"0"	"75"	"20/8/2019 09:33:14"	"20/8/2019 09:33:14"
"47"	"18"	"2"	"1170"	"35"	"20"	"135"	"1"	"1"	"0"	"75"	"20/8/2019 09:33:14"	"20/8/2019 09:33:14"
"48"	"18"	"3"	"2340"	"35"	"20"	"270"	"1"	"1"	"0"	"75"	"20/8/2019 09:33:15"	"20/8/2019 09:33:15"
"49"	"19"	"1"	"700"	"25"	"20"	"75"	"0.7"	"3"	"0"	"50"	"20/8/2019 12:38:06"	"20/8/2019 12:38:06"
"50"	"19"	"2"	"1260"	"25"	"20"	"135"	"0.7"	"3"	"0"	"50"	"20/8/2019 12:38:06"	"20/8/2019 12:38:06"
"51"	"19"	"3"	"2520"	"25"	"20"	"270"	"0.7"	"3"	"0"	"50"	"20/8/2019 12:38:06"	"20/8/2019 12:38:06"
"52"	"20"	"1"	"700"	"25"	"20"	"65"	"0.7"	"3"	"0"	"100"	"20/8/2019 12:42:40"	"20/8/2019 12:42:40"
"53"	"20"	"2"	"1260"	"25"	"20"	"117"	"0.7"	"3"	"0"	"100"	"20/8/2019 12:42:40"	"20/8/2019 12:42:40"
"54"	"20"	"3"	"2520"	"25"	"20"	"234"	"0.7"	"3"	"0"	"100"	"20/8/2019 12:42:40"	"20/8/2019 12:42:40"
"55"	"21"	"1"	"600"	"40"	"20"	"50"	"0.5"	"1"	"0"	"100"	"20/8/2019 12:47:10"	"20/8/2019 12:47:10"
"56"	"21"	"2"	"1080"	"40"	"20"	"90"	"0.5"	"1"	"0"	"100"	"20/8/2019 12:47:10"	"20/8/2019 12:47:10"
"57"	"21"	"3"	"2160"	"40"	"20"	"180"	"0.5"	"1"	"0"	"100"	"20/8/2019 12:47:10"	"20/8/2019 12:47:10"
"58"	"22"	"1"	"700"	"20"	"20"	"80"	"0.8"	"1"	"0"	"25"	"20/8/2019 13:29:03"	"20/8/2019 13:29:03"
"59"	"22"	"2"	"1260"	"20"	"20"	"144"	"0.8"	"1"	"0"	"25"	"20/8/2019 13:29:03"	"20/8/2019 13:29:03"
"60"	"22"	"3"	"2520"	"20"	"20"	"288"	"0.8"	"1"	"0"	"25"	"20/8/2019 13:29:03"	"20/8/2019 13:29:03"
"61"	"23"	"1"	"550"	"20"	"20"	"65"	"0.7"	"2"	"50"	"150"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"62"	"23"	"2"	"990"	"20"	"20"	"126"	"0.7"	"2"	"50"	"150"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"63"	"23"	"3"	"1980"	"20"	"20"	"252"	"0.7"	"2"	"50"	"150"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"64"	"24"	"1"	"650"	"30"	"20"	"65"	"0.7"	"1"	"100"	"150"	"20/8/2019 14:12:13"	"20/8/2019 14:12:13"
"65"	"24"	"2"	"1170"	"30"	"20"	"117"	"0.7"	"1"	"100"	"150"	"20/8/2019 14:12:13"	"20/8/2019 14:12:13"
"66"	"24"	"3"	"2340"	"30"	"20"	"234"	"0.7"	"1"	"100"	"150"	"20/8/2019 14:12:13"	"20/8/2019 14:12:13"
"67"	"25"	"1"	"550"	"25"	"20"	"65"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:41:00"	"20/8/2019 15:41:00"
"68"	"25"	"2"	"990"	"25"	"20"	"117"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:41:00"	"20/8/2019 15:41:00"
"69"	"25"	"3"	"1980"	"25"	"20"	"234"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:41:00"	"20/8/2019 15:41:00"
"70"	"26"	"1"	"750"	"40"	"20"	"60"	"1"	"3"	"0"	"125"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"71"	"26"	"2"	"1440"	"40"	"20"	"108"	"1"	"3"	"0"	"125"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"72"	"26"	"3"	"2880"	"40"	"20"	"216"	"1"	"3"	"0"	"125"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"73"	"27"	"1"	"750"	"100"	"20"	"45"	"0.6"	"1"	"50"	"100"	"20/8/2019 15:50:15"	"20/8/2019 15:50:15"
"74"	"27"	"2"	"1350"	"100"	"20"	"81"	"0.6"	"1"	"50"	"100"	"20/8/2019 15:50:15"	"20/8/2019 15:50:15"
"75"	"27"	"3"	"2700"	"100"	"20"	"162"	"0.6"	"1"	"50"	"100"	"20/8/2019 15:50:15"	"20/8/2019 15:50:15"
"76"	"28"	"1"	"600"	"25"	"20"	"65"	"0.7"	"3"	"0"	"35"	"20/8/2019 15:53:24"	"20/8/2019 15:53:24"
"77"	"28"	"2"	"1080"	"25"	"20"	"117"	"0.7"	"3"	"0"	"35"	"20/8/2019 15:53:25"	"20/8/2019 15:53:25"
"78"	"28"	"3"	"2160"	"25"	"20"	"234"	"0.7"	"3"	"0"	"35"	"20/8/2019 15:53:25"	"20/8/2019 15:53:25"
"79"	"29"	"1"	"400"	"25"	"20"	"40"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"80"	"29"	"2"	"720"	"25"	"20"	"72"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"81"	"29"	"3"	"1440"	"25"	"20"	"144"	"0.7"	"1"	"0"	"75"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"82"	"30"	"1"	"750"	"100"	"20"	"45"	"0.6"	"1"	"0"	"100"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"83"	"30"	"2"	"1350"	"100"	"20"	"81"	"0.6"	"1"	"0"	"100"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"84"	"30"	"3"	"2700"	"100"	"20"	"81"	"0.6"	"1"	"0"	"100"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"85"	"31"	"1"	"550"	"25"	"20"	"40"	"0.7"	"3"	"0"	"75"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"86"	"31"	"2"	"990"	"25"	"20"	"72"	"0.7"	"3"	"0"	"75"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"87"	"31"	"3"	"1980"	"25"	"20"	"144"	"0.7"	"3"	"0"	"75"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"88"	"32"	"1"	"850"	"25"	"20"	"65"	"0.7"	"3"	"40"	"125"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"89"	"32"	"2"	"1530"	"25"	"20"	"117"	"0.7"	"3"	"40"	"125"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"90"	"32"	"3"	"3060"	"25"	"20"	"234"	"0.7"	"3"	"40"	"125"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"91"	"33"	"1"	"600"	"20"	"20"	"60"	"0.7"	"3"	"50"	"150"	"20/8/2019 16:27:42"	"20/8/2019 16:27:42"
"92"	"33"	"2"	"1080"	"20"	"20"	"108"	"0.7"	"3"	"50"	"150"	"20/8/2019 16:27:43"	"20/8/2019 16:27:43"
"93"	"33"	"3"	"2160"	"20"	"20"	"216"	"0.7"	"3"	"50"	"150"	"20/8/2019 16:27:43"	"20/8/2019 16:27:43"
"94"	"34"	"1"	"550"	"40"	"20"	"50"	"0.5"	"1"	"0"	"100"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"95"	"34"	"2"	"990"	"40"	"20"	"90"	"0.5"	"1"	"0"	"100"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"96"	"34"	"3"	"1980"	"40"	"20"	"180"	"0.5"	"1"	"0"	"100"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"97"	"35"	"1"	"700"	"20"	"20"	"75"	"0.9"	"3"	"0"	"75"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
"98"	"35"	"2"	"1260"	"20"	"20"	"135"	"0.9"	"3"	"0"	"75"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
"99"	"35"	"3"	"2520"	"20"	"20"	"270"	"0.9"	"3"	"0"	"75"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
"100"	"36"	"1"	"600"	"20"	"20"	"55"	"0.6"	"1"	"0"	"100"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"101"	"36"	"2"	"1080"	"20"	"20"	"55"	"0.6"	"1"	"0"	"100"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"102"	"36"	"3"	"2160"	"20"	"20"	"55"	"0.6"	"1"	"0"	"100"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"103"	"37"	"1"	"600"	"25"	"20"	"60"	"0.6"	"1"	"50"	"125"	"20/8/2019 16:42:22"	"20/8/2019 16:42:22"
"104"	"37"	"2"	"1080"	"25"	"20"	"108"	"0.6"	"1"	"50"	"125"	"20/8/2019 16:42:22"	"20/8/2019 16:42:22"
"105"	"37"	"3"	"2160"	"25"	"20"	"216"	"0.6"	"1"	"50"	"125"	"20/8/2019 16:42:22"	"20/8/2019 16:42:22"
"106"	"38"	"1"	"450"	"20"	"20"	"40"	"0.8"	"3"	"0"	"50"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"107"	"38"	"2"	"810"	"20"	"20"	"72"	"0.8"	"3"	"0"	"50"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"108"	"38"	"3"	"1620"	"20"	"20"	"144"	"0.8"	"3"	"0"	"50"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"109"	"39"	"1"	"450"	"20"	"20"	"55"	"0.6"	"1"	"0"	"0"	"20/8/2019 16:49:58"	"20/8/2019 16:49:58"
"110"	"39"	"2"	"850"	"20"	"20"	"99"	"0.6"	"1"	"0"	"0"	"20/8/2019 16:49:58"	"20/8/2019 16:49:58"
"111"	"39"	"3"	"1800"	"20"	"20"	"198"	"0.6"	"1"	"0"	"0"	"20/8/2019 16:49:58"	"20/8/2019 16:49:58"
"112"	"40"	"1"	"600"	"35"	"20"	"50"	"0.5"	"1"	"100"	"125"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"113"	"40"	"2"	"1080"	"35"	"20"	"90"	"0.5"	"1"	"100"	"125"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"114"	"40"	"3"	"2160"	"35"	"20"	"180"	"0.5"	"1"	"100"	"125"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"115"	"41"	"1"	"1000"	"20"	"20"	"70"	"0.6"	"1"	"50"	"150"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"116"	"41"	"2"	"1900"	"20"	"20"	"126"	"0.6"	"1"	"50"	"150"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"117"	"41"	"3"	"3900"	"20"	"20"	"252"	"0.6"	"1"	"50"	"150"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"118"	"42"	"1"	"650"	"20"	"20"	"50"	"0.7"	"1"	"0"	"150"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"119"	"42"	"2"	"1170"	"20"	"20"	"90"	"0.7"	"1"	"0"	"150"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"120"	"42"	"3"	"2340"	"20"	"20"	"180"	"0.7"	"1"	"0"	"150"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"121"	"43"	"1"	"550"	"25"	"20"	"55"	"0.6"	"1"	"0"	"0"	"21/8/2019 06:51:32"	"21/8/2019 06:51:32"
"122"	"43"	"2"	"990"	"25"	"20"	"99"	"0.6"	"1"	"0"	"0"	"21/8/2019 06:51:32"	"21/8/2019 06:51:32"
"123"	"43"	"3"	"1980"	"25"	"20"	"198"	"0.6"	"1"	"0"	"0"	"21/8/2019 06:51:32"	"21/8/2019 06:51:32"
"124"	"44"	"1"	"500"	"20"	"20"	"55"	"0.6"	"1"	"0"	"50"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"125"	"44"	"2"	"900"	"20"	"20"	"99"	"0.6"	"1"	"0"	"50"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"126"	"44"	"3"	"1800"	"20"	"20"	"198"	"0.6"	"1"	"0"	"50"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"127"	"45"	"1"	"750"	"30"	"20"	"50"	"0.7"	"2"	"0"	"125"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"128"	"45"	"2"	"1430"	"30"	"20"	"90"	"0.7"	"2"	"0"	"125"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"129"	"45"	"3"	"2960"	"30"	"20"	"180"	"0.7"	"2"	"0"	"125"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"130"	"46"	"1"	"550"	"20"	"20"	"70"	"0.6"	"1"	"0"	"75"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"131"	"46"	"2"	"990"	"20"	"20"	"126"	"0.6"	"1"	"0"	"75"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"132"	"46"	"3"	"1980"	"20"	"20"	"252"	"0.6"	"1"	"0"	"75"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"133"	"47"	"1"	"450"	"20"	"20"	"50"	"0.6"	"3"	"0"	"70"	"21/8/2019 07:03:29"	"21/8/2019 07:03:29"
"134"	"47"	"2"	"810"	"20"	"20"	"90"	"0.6"	"3"	"0"	"75"	"21/8/2019 07:03:29"	"21/8/2019 07:03:29"
"135"	"47"	"3"	"1620"	"20"	"20"	"180"	"0.6"	"3"	"0"	"75"	"21/8/2019 07:03:29"	"21/8/2019 07:03:29"
"136"	"48"	"1"	"600"	"30"	"20"	"50"	"0.6"	"1"	"50"	"150"	"21/8/2019 07:06:08"	"21/8/2019 07:06:08"
"137"	"48"	"2"	"1080"	"30"	"20"	"90"	"0.6"	"1"	"50"	"150"	"21/8/2019 07:06:08"	"21/8/2019 07:06:08"
"138"	"48"	"3"	"2160"	"30"	"20"	"180"	"0.6"	"1"	"50"	"150"	"21/8/2019 07:06:08"	"21/8/2019 07:06:08"
"139"	"49"	"1"	"500"	"20"	"20"	"50"	"0.7"	"3"	"0"	"100"	"21/8/2019 07:08:57"	"21/8/2019 07:08:57"
"140"	"49"	"2"	"900"	"20"	"20"	"90"	"0.7"	"3"	"0"	"100"	"21/8/2019 07:08:57"	"21/8/2019 07:08:57"
"141"	"49"	"3"	"1800"	"20"	"20"	"180"	"0.7"	"3"	"0"	"100"	"21/8/2019 07:08:57"	"21/8/2019 07:08:57"
"142"	"50"	"1"	"800"	"30"	"20"	"50"	"0.5"	"1"	"0"	"75"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"143"	"50"	"2"	"1350"	"30"	"20"	"90"	"0.5"	"1"	"0"	"75"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"144"	"50"	"3"	"2700"	"30"	"20"	"180"	"0.5"	"1"	"0"	"75"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"145"	"51"	"1"	"500"	"20"	"20"	"45"	"0.6"	"2"	"0"	"75"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"146"	"51"	"2"	"900"	"20"	"20"	"81"	"0.6"	"2"	"0"	"75"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"147"	"51"	"3"	"1800"	"20"	"20"	"162"	"0.6"	"2"	"0"	"75"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"148"	"52"	"1"	"500"	"20"	"20"	"50"	"0.6"	"2"	"0"	"150"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"149"	"52"	"2"	"900"	"20"	"20"	"90"	"0.6"	"2"	"0"	"150"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"150"	"52"	"3"	"1800"	"20"	"20"	"180"	"0.6"	"2"	"0"	"150"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"151"	"53"	"1"	"500"	"20"	"20"	"50"	"0.7"	"4"	"0"	"50"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"152"	"53"	"2"	"900"	"20"	"20"	"90"	"0.7"	"4"	"0"	"50"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"153"	"53"	"3"	"1800"	"20"	"20"	"180"	"0.7"	"4"	"0"	"50"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"154"	"54"	"1"	"550"	"20"	"20"	"75"	"0.7"	"3"	"0"	"20"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"155"	"54"	"2"	"990"	"20"	"20"	"135"	"0.7"	"3"	"0"	"20"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"156"	"54"	"3"	"1980"	"20"	"20"	"270"	"0.7"	"3"	"0"	"20"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"157"	"55"	"1"	"650"	"25"	"20"	"55"	"0.7"	"1"	"50"	"125"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"158"	"55"	"2"	"1080"	"25"	"20"	"99"	"0.7"	"1"	"50"	"125"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"159"	"55"	"3"	"2160"	"25"	"20"	"198"	"0.7"	"3"	"50"	"125"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"160"	"56"	"1"	"600"	"30"	"20"	"55"	"0.7"	"1"	"0"	"50"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"161"	"56"	"2"	"1080"	"30"	"20"	"99"	"0.7"	"1"	"0"	"50"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"162"	"56"	"3"	"2160"	"30"	"20"	"198"	"0.7"	"1"	"0"	"50"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"163"	"57"	"1"	"550"	"25"	"20"	"50"	"0.6"	"1"	"75"	"150"	"21/8/2019 07:41:52"	"21/8/2019 07:41:52"
"164"	"57"	"2"	"990"	"25"	"20"	"90"	"0.6"	"1"	"75"	"150"	"21/8/2019 07:41:52"	"21/8/2019 07:41:52"
"165"	"57"	"3"	"1980"	"25"	"20"	"180"	"0.6"	"1"	"75"	"150"	"21/8/2019 07:41:53"	"21/8/2019 07:41:53"
