"id"	"name"	"nickname"	"img"	"price"	"skill"	"created_at"	"updated_at"
"13"	"冰晶凤凰"	"艾尼维亚"	"http://img.dwstatic.com/lol/1906/425406659811/1561451465995.png"	"5"	"冰川风暴：艾尼维亚引导一次大型风暴，对其中的敌人造成伤害和攻速减慢效果。
技能伤害：700 / 950 / 1200"	"20/8/2019 09:15:12"	"20/8/2019 09:15:12"
"14"	"北极之怒"	"瑟庄妮"	"http://img.dwstatic.com/lol/1906/425405952031/1561450758358.png"	"4"	"极冰寒狱：瑟庄妮召唤巨大的冰川风暴，在短暂的延迟后眩晕其中的敌人。
技能伤害：100 / 175 / 250
眩晕时间：2秒 / 4秒 / 6秒"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"15"	"雷霆咆哮"	"沃利贝尔"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848748.png"	"3"	"雷霆利爪：沃利贝尔强化他的攻击，以在敌人之间弹射，并施加攻击特效。
技能效果：80% / 90% / 100%"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"16"	"寒冰射手"	"艾希"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848081.png"	"3"	"魔法水晶箭：艾希射出一道魔法水晶箭，眩晕第一个被击中的敌人并造成伤害。敌人越远眩晕时间越长。
技能伤害：200 / 400 600"	"20/8/2019 09:26:29"	"20/8/2019 09:26:29"
"17"	"冰霜女巫"	"丽桑卓"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238036.png"	"2"	"冰封陵墓：丽桑卓将目标封禁在冰牢中，对附近的敌人造成伤害和减速。生命值不足一半时，丽桑卓会将自己冰封，编程不可被选中状态。
技能伤害：150 / 275 / 400"	"20/8/2019 09:30:18"	"20/8/2019 09:30:18"
"18"	"弗雷尔卓德之心"	"布隆"	"http://img.dwstatic.com/lol/1906/425402431458/1561447237900.png"	"2"	"坚不可摧：布隆举起盾牌格挡最近敌人造成的一部分伤害。
技能效果：减少伤害70% / 80% / 90%"	"20/8/2019 09:33:14"	"20/8/2019 09:33:14"
"19"	"荣耀执行官"	"德莱文"	"http://img.dwstatic.com/lol/1907/426696190034/1562740997305.jpg"	"4"	"旋转飞斧：德莱文在下次攻击时扔出一把造成额外伤害的旋转飞斧。如果德莱文接住了飞斧那么会立刻准备好下一发旋转飞斧。德莱文可以同时拥有多发旋转飞斧。
技能伤害：150% / 200% / 250%"	"20/8/2019 12:38:05"	"20/8/2019 12:38:05"
"20"	"不祥之刃"	"卡特琳娜"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848297.png"	"3"	"死亡莲华：卡特琳娜化身一道剑刃飓风对附近的敌人投射出数把匕首，对其造成伤害并且降低他们的治疗效果。
技能伤害：40 / 60 / 80"	"20/8/2019 12:42:39"	"20/8/2019 12:42:39"
"21"	"诺克萨斯之手"	"德莱厄斯"	"http://img.dwstatic.com/lol/1906/425055697204/1561100506754.png"	"1"	"大杀四方：德莱厄斯挥舞他的斧头，对附近的敌人造成伤害并基于他命中的敌人数量来治疗自身。
技能伤害：150 / 200 / 250"	"20/8/2019 12:47:10"	"20/8/2019 13:15:23"
"22"	"忍者之刺"	"阿卡丽"	"http://img.dwstatic.com/lol/1906/425405952031/1561450757838.png"	"4"	"我流奥义！寒影：阿卡丽向面前挚出苦如并造成伤害。这个技能可以暴击。
技能伤害：200 / 375 / 550"	"20/8/2019 13:29:02"	"20/8/2019 13:29:02"
"23"	"狂暴之心"	"凯南"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848349.png"	"3"	"秘奥义！万雷天牢引：凯南在自身周围召唤出一阵风暴，对其中的敌人造成伤害和眩晕效果。
技能伤害：225 / 450 / 675"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"24"	"暮光之眼"	"慎"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238570.png"	"2"	"奥义！魂佑：慎在自身周围创造一片区域，使其中的友军可以躲避所有攻击。
技能效果：3 / 4 / 5"	"20/8/2019 14:12:12"	"20/8/2019 14:12:12"
"25"	"影流之主"	"劫"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238701.png"	"2"	"影奥义！诸刃：劫掷出他的手里剑，对其穿越的敌人造成伤害。
技能伤害：200 / 350 / 500"	"20/8/2019 15:40:59"	"20/8/2019 15:40:59"
"26"	"正义天使"	"凯尔"	"http://img.dwstatic.com/lol/1906/425406659811/1561451466166.png"	"5"	"圣裁之刻：凯尔为最弱的一名有军施加护盾，使其免疫伤害。
技能效果：500 / 800 / 1100"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"27"	"曙光女神"	"蕾欧娜"	"http://img.dwstatic.com/lol/1906/425405952031/1561450758292.png"	"4"	"日炎耀斑：蕾欧娜召唤一道太阳光束从天而降，对其内的敌人造成伤害和减速效果。其中心的敌人会被眩晕。
技能伤害：175 / 250 / 325"	"20/8/2019 15:50:14"	"20/8/2019 15:50:14"
"28"	"圣枪游侠"	"卢锡安"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238102.png"	"2"	"冷酷追击：卢锡安冲刺到安全位置并且对敌人攻击两次，一次算作攻击伤害，另一次算作技能伤害。
技能伤害：150 / 250 / 350"	"20/8/2019 15:53:24"	"20/8/2019 15:53:24"
"29"	"无双剑姬"	"菲奥娜"	"http://img.dwstatic.com/lol/1906/425400885409/1561445801781.png"	"1"	"劳伦特心眼刀：菲奥娜变得免疫伤害和法术。短暂的延迟后，她会击晕最近的敌人并对其造成伤害。
技能伤害：100 / 175 / 250"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"30"	"德玛西亚之力"	"盖伦"	"http://img.dwstatic.com/lol/1906/425055697204/1561100652098.png"	"1"	"审判：盖伦旋转舞动他的大剑，变得免疫技能伤害并且对附近的敌人造成伤害。
技能每秒伤害：40 / 65 / 90"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"31"	"暗夜猎手"	"薇恩"	"http://img.dwstatic.com/lol/1907/426696190034/1562740996911.jpg"	"1"	"圣银弩箭：每第三次攻击，薇恩会根据敌人的最大生命值造成额外真实伤害。
技能伤害：8% / 12% / 16%"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"32"	"死亡颂唱者"	"卡尔萨斯"	"http://img.dwstatic.com/lol/1906/425406659811/1561451466108.png"	"5"	"安魂曲：在较长的吟唱之后，卡尔萨斯对几名随机敌人造成伤害。
技能伤害：350 / 600 / 850
技能目标：5 /7 9"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"33"	"永猎双子"	"千珏"	"http://img.dwstatic.com/lol/1906/425405952031/1561450758230.png"	"4"	"羊灵生息：千珏在自身周围创造一片区域，阻止其中的友军阵亡。
技能效果：4 / 5 / 6"	"20/8/2019 16:27:42"	"20/8/2019 16:27:42"
"34"	"铁铠冥魂"	"莫德凯撒"	"http://img.dwstatic.com/lol/1906/425400885409/1561445802021.png"	"1"	"破灭之锤：莫德凯撒向前猛力砸下钉锤，对直线上两个敌人造成伤害。
技能伤害：200 / 325 / 450"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"35"	"赏金猎人"	"厄运小姐"	"http://img.dwstatic.com/lol/1906/425406659811/1561451466235.png"	"5"	"弹幕时间：厄运小姐呈锥形引导并发射若干波子弹来伤害敌人。
技能伤害：800 / 1250 / 1700"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
"36"	"海洋之灾"	"普朗克"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848212.png"	"3"	"火药桶：普朗克会定期放置火药桶。施放技能时，普朗克会引爆这些火药桶，对附近的敌人造成伤害。
技能伤害：200 / 325 / 450"	"20/8/2019 16:38:18"	"20/8/2019 16:38:18"
"37"	"血港鬼影"	"派克"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238234.png"	"2"	"魅影浪洄：派克冲刺到最远敌人的身后，显现出一个魅影对其穿越的敌人造成眩晕效果。
技能伤害：150 / 200 / 250
眩晕时间：1.5 / 2.0 / 2.5秒"	"20/8/2019 16:42:21"	"20/8/2019 16:42:21"
"38"	"卡牌大师"	"崔斯特"	"http://img.dwstatic.com/lol/1907/427305821930/1563350626155.jpg"	"2"	"选牌：崔斯特随机扔出一张卡牌，不同卡牌会有不同的效果。红牌对目标周围单位造成伤害；黄牌造成眩晕效果；蓝牌恢复自身与周围友军法力。
红牌伤害：150 / 250 / 350
黄牌眩晕时间：2 / 3 / 4
蓝牌法力恢复：20 / 35 / 50"	"20/8/2019 16:47:18"	"20/8/2019 16:47:18"
"39"	"法外狂徒"	"格雷福斯"	"http://img.dwstatic.com/lol/1906/425400885409/1561445801841.png"	"1"	"大号铅弹：格雷福斯的散弹枪攻击力提升并会对附近的敌人造成溅射伤害。
技能伤害：5% / 10% / 15%"	"20/8/2019 16:49:57"	"20/8/2019 16:49:57"
"40"	"蒸汽机器人"	"布里茨"	"http://img.dwstatic.com/lol/1906/425402431458/1561447237837.png"	"2"	"机械飞爪：布里茨将最远的敌人拉向自己并将其击飞。
技能伤害：100 / 450 / 800"	"21/8/2019 06:42:53"	"21/8/2019 06:42:53"
"41"	"虚空恐惧"	"科加斯"	"http://img.dwstatic.com/lol/1906/425405952031/1561450758025.png"	"4"	"破裂：科加斯使目标区域破裂，对其中的敌人造成伤害和眩晕效果。
技能伤害：175 / 350 / 525
击飞时间：1.5 / 1.75 / 2秒"	"21/8/2019 06:46:11"	"21/8/2019 06:46:11"
"42"	"虚空遁地兽"	"雷克塞"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238475.png"	"2"	"遁地：雷克塞短暂潜入地下，变为不可被选中并且治疗自身。当雷克塞钻出地面时，她会击飞最近的敌人并对其造成伤害。
技能伤害：200 / 350 / 500"	"21/8/2019 06:49:04"	"21/8/2019 06:49:04"
"43"	"虚空行者"	"卡萨丁"	"http://img.dwstatic.com/lol/1906/425400885409/1561445801887.png"	"1"	"虚空之刃：卡萨丁的攻击会偷取敌人的法力值，并将其转化为护盾。
技能效果：20 / 40 / 60"	"21/8/2019 06:51:31"	"21/8/2019 06:51:31"
"44"	"虚空掠夺者"	"卡兹克"	"http://img.dwstatic.com/lol/1906/425400885409/1561445801957.png"	"1"	"品尝恐惧：卡兹克斩击距离最近的敌人，并可对孤立无援的敌人造成额外伤害。
技能伤害：150 / 250 / 350"	"21/8/2019 06:53:58"	"21/8/2019 06:53:58"
"45"	"迷失之牙"	"纳尔"	"http://img.dwstatic.com/lol/1906/425405952031/1561450758158.png"	"4"	"呐啊：纳尔变形，获取生命值，攻击伤害并跳到距离最远的敌人身后，伤害并向后猛推附近的敌人。
技能伤害：200 / 300 / 400"	"21/8/2019 06:57:06"	"21/8/2019 06:57:06"
"46"	"傲之追猎者"	"雷恩加尔"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848544.png"	"3"	"残忍无情：雷恩加尔越向最弱的敌人，并对其造成额外伤害。造成伤害后，雷恩加尔会获得额外攻击速度和暴击几率。
技能伤害：210% / 320% / 430%
攻速加成：0.3 / 0.5 / 0.7"	"21/8/2019 07:00:53"	"21/8/2019 07:00:53"
"47"	"九尾妖狐"	"阿狸"	"http://img.dwstatic.com/lol/1906/425402431458/1561447237780.png"	"2"	"欺诈宝珠：阿狸沿直线发射出一枚宝珠，随后将其收回，对其穿越的敌人造成伤害。
技能伤害：100 / 200 / 300"	"21/8/2019 07:03:28"	"21/8/2019 07:03:28"
"48"	"祖安怒兽"	"沃里克"	"http://img.dwstatic.com/lol/1906/425400885409/1561445802290.png"	"1"	"无尽束缚：沃里克扑向生命值最低的敌人，造成伤害和眩晕并治疗自己。
技能伤害：150 / 255 / 300"	"21/8/2019 07:06:07"	"21/8/2019 07:06:07"
"49"	"狂野女猎手"	"奈德丽"	"http://img.dwstatic.com/lol/1906/425400885409/1561445802090.png"	"1"	"野性奔腾：奈德丽治疗自身和伤势最重的友军，然后变形并获得攻击伤害。
技能效果：20 / 70 / 120"	"21/8/2019 07:08:56"	"21/8/2019 07:08:56"
"50"	"圣锤之毅"	"波比"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848478.png"	"3"	"侍卫的裁决：波比挥舞她的铁锤，来伤害并击飞距离最近的敌人。
技能伤害：300 / 500 / 700"	"21/8/2019 07:13:03"	"21/8/2019 07:13:03"
"51"	"邪恶小法师"	"维迦"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848680.png"	"3"	"能量爆裂：维迦用魔法引爆一名敌人，对其造成受伤害。如果目标的星级低于维迦，法术会立刻将其击杀。
技能伤害：300 / 550 / 800"	"21/8/2019 07:16:44"	"21/8/2019 07:16:44"
"52"	"仙灵女巫"	"璐璐"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238169.png"	"2"	"狂野生长：璐璐为一名友军提供额外生命值并将其周围的敌人击飞。
生命加成：300 / 400 / 500"	"21/8/2019 07:19:11"	"21/8/2019 07:19:11"
"53"	"麦林炮手"	"崔丝塔娜"	"http://img.dwstatic.com/lol/1906/425400885409/1561445802175.png"	"1"	"爆炸射击：崔丝塔娜在当前目标上放置一颗炸弹，在数次攻击后将其引爆，对附近的敌人造成伤害。
技能伤害：150 / 225 / 300"	"21/8/2019 07:22:01"	"21/8/2019 07:22:01"
"54"	"暴走萝莉"	"金克丝"	"http://img.dwstatic.com/lol/1908/429536672913/1565581503513.png"	"4"	"罪恶快感：金克丝在参与击杀时获得加成，第一次获得攻击速度，第二次会去除火箭并造成溅射伤害。
攻速加成：75% / 100% / 125%
伤害：100 / 255 / 350"	"21/8/2019 07:29:14"	"21/8/2019 07:29:14"
"55"	"皮城执法官"	"蔚"	"http://img.dwstatic.com/lol/1908/429536672913/1565581498046.png"	"3"	"天霸横空烈轰：蔚冲向距离最远的敌人，沿途将所有敌人震开，当他接触目标时会造成伤害与击飞。
伤害：250 / 450 / 650
眩晕持续：2 / 2.5 / 3秒"	"21/8/2019 07:33:05"	"21/8/2019 07:33:05"
"56"	"未来守护者"	"杰斯"	"http://img.dwstatic.com/lol/1908/429536672913/1565581492913.png"	"2"	"变形墨丘利之炮：杰斯击退近战距离内的一名敌人，造成伤害眩晕，随后切换形态提升攻击距离到3格并获得攻速提升攻击次数。
伤害：200 / 350 / 500
眩晕：2.5 / 4.25 / 6秒
攻击次数：3 / 5 / 7"	"21/8/2019 07:38:11"	"21/8/2019 07:38:11"
"57"	"青钢影"	"卡密尔"	"http://img.dwstatic.com/lol/1908/429536672913/1565581488923.png"	"1"	"海克斯最后通牒：卡密尔对一名敌人造成伤害和禁锢效果，并让友军集火攻击该目标。
禁锢：4 / 5 / 6秒
伤害：200 / 325 / 450"	"21/8/2019 07:41:52"	"21/8/2019 07:41:52"
