"id"	"first_material_id"	"second_material_id"	"name"	"img"	"effect"	"created_at"	"updated_at"	"basic_attribute"
"11"	"2"	"4"	"斯塔提克电刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209514.png"	"每3次攻击造成100点魔法伤害弹射3个目标"	"21/8/2019 03:28:31"	"21/8/2019 03:28:31"	"+20%攻击速度，+20法力值"
"12"	"2"	"5"	"鬼索的狂暴之刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824203266.png"	"攻击时增加5%的攻击速度，可无限叠加"	"21/8/2019 03:29:40"	"21/8/2019 03:29:40"	"+20%攻击速度，+20%技能伤害"
"13"	"2"	"6"	"幻影之舞"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204592.png"	"闪避所有暴击，包括技能"	"21/8/2019 03:30:50"	"21/8/2019 03:30:50"	"+20%攻击速度，+20护甲"
"14"	"2"	"7"	"巨型九头蛇"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210318.png"	"对前方范围敌人造成基于最大生命值10%的伤害"	"21/8/2019 03:32:02"	"21/8/2019 03:32:02"	"+20攻击力，+200生命值"
"15"	"2"	"8"	"破败王者之刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198405.png"	"持有者增加剑士职业"	"21/8/2019 03:32:59"	"21/8/2019 03:32:59"	"+40%攻击速度"
"16"	"3"	"3"	"巨龙之爪"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198438.png"	"增加魔抗83%"	"21/8/2019 03:35:13"	"21/8/2019 03:35:13"	"+40魔抗"
"17"	"3"	"4"	"沉默之刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824203522.png"	"有33%的几率防止敌人获得法力值，持续4秒"	"21/8/2019 03:36:35"	"21/8/2019 03:36:35"	"+20法力值，+20魔抗"
"18"	"3"	"5"	"离子火花"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204878.png"	"敌人施放技能时受到125点真实伤害"	"21/8/2019 03:37:43"	"21/8/2019 03:37:43"	"+20%技能伤害，+20魔抗"
"19"	"3"	"6"	"折剑者"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209854.png"	"攻击时有25%的几率将敌人缴械"	"21/8/2019 03:39:25"	"21/8/2019 03:39:25"	"+20护甲，+20%魔抗"
"20"	"3"	"7"	"灵风"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824215497.png"	"战斗开场随机放逐一名敌人5秒"	"21/8/2019 03:40:32"	"21/8/2019 03:40:32"	"+200生命值，+20魔抗"
"21"	"3"	"8"	"卢安娜的飓风"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209579.png"	"普攻对额外一个目标造成伤害，额外攻击造成75%的伤害"	"21/8/2019 03:41:44"	"21/8/2019 03:41:44"	"+40魔抗"
"22"	"4"	"4"	"炽天使之拥"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209709.png"	"施放技能后立刻恢复20%法力值"	"21/8/2019 03:43:11"	"21/8/2019 03:43:11"	"+40法力值"
"23"	"4"	"5"	"卢登的回声"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204999.png"	"技能命中敌人时造成200点溅射魔法伤害"	"21/8/2019 03:44:21"	"21/8/2019 03:44:21"	"+20%技能伤害，+20法力值"
"24"	"4"	"6"	"冰霜之心"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198348.png"	"减少邻近格子敌人20%攻击速度"	"21/8/2019 03:45:20"	"21/8/2019 03:45:20"	"+20护甲，+20法力值"
"25"	"4"	"7"	"救赎"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209486.png"	"生命25%时治疗友军1500点生命值"	"21/8/2019 05:35:22"	"21/8/2019 05:35:22"	"+200生命值，+20法力值"
"26"	"4"	"8"	"暗裔"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198886.png"	"持有者增加恶魔种族"	"21/8/2019 05:36:22"	"21/8/2019 05:36:22"	"+40法力值"
"27"	"5"	"5"	"灭世者的死亡之帽"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204608.png"	"技能伤害增加50%"	"21/8/2019 05:37:26"	"21/8/2019 05:37:26"	"+40%技能伤害"
"28"	"5"	"6"	"钢铁烈阳之匣"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204238.png"	"战斗开始时增加临近友军250护盾，持续6秒"	"21/8/2019 05:38:47"	"21/8/2019 05:38:47"	"+20护甲，+20%技能伤害"
"29"	"5"	"7"	"莫雷洛秘典"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204669.png"	"在10秒内造成相当于敌人最大生命值20%的燃烧伤害"	"21/8/2019 05:40:04"	"21/8/2019 05:48:01"	"+20%技能伤害，+200生命值"
"30"	"5"	"8"	"悠米"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210891.png"	"持有者增加法师职业"	"21/8/2019 05:41:03"	"21/8/2019 05:41:03"	"+40%技能伤害"
"31"	"6"	"6"	"荆棘之甲"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210502.png"	"反弹所受到的伤害的100%魔法伤害"	"21/8/2019 05:42:07"	"21/8/2019 05:42:07"	"+40护甲"
"32"	"6"	"7"	"红色增益"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209553.png"	"在10秒内造成生命值20%的燃烧伤害"	"21/8/2019 05:43:04"	"21/8/2019 05:43:04"	"+20护甲，+200生命值"
"33"	"6"	"8"	"骑士之誓"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204895.png"	"持有者增加骑士职业"	"21/8/2019 05:44:22"	"21/8/2019 05:44:22"	"+40护甲"
"34"	"7"	"7"	"狂徒铠甲"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210718.png"	"每秒恢复6%已损生命值，上限每秒400"	"21/8/2019 05:45:35"	"21/8/2019 05:45:35"	"+700生命值"
"35"	"7"	"8"	"冰霜之锤"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824203270.png"	"持有者增加极地种族"	"21/8/2019 05:46:16"	"21/8/2019 05:46:16"	"+400生命值"
"36"	"8"	"8"	"自然之力"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198413.png"	"+1队伍规模"	"21/8/2019 05:47:05"	"21/8/2019 05:47:05"	"无"
